App Name,Downloads/M,Revenue/M,rate,Release Date,Last Update Date
Block Jam 3D: Match 3 Puzzle,200000,300000,1.5,2022/6/21,2025/6/24
Monster Survivors,400000,200000,0.5,2023/10/8,2025/6/6
Cup Heroes,800000,300000,0.375,2024/2/7,2025/6/18
Mob Control,6000000,900000,0.15,2021/5/12,2025/6/25
Ball Blast Cannon blitz mania,600000,60000,0.1,2018/9/13,2025/6/19
Collect Em All! Clear the Dots,1000000,100000,0.1,2021/10/2,2025/6/5
Epic Plane Evolution,2000000,100000,0.05,2024/8/2,2025/6/24
Archery Clash!,2000000,60000,0.03,2024/2/5,2025/6/11
Hole.io,11000000,80000,0.007272727,2018/6/21,2025/6/20
Other Games,,900000,,,
